"subject" "activity" "tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyAccMagmean" "tGravityAccMagmean" "tBodyAccJerkMagmean" "tBodyGyroMagmean" "tBodyGyroJerkMagmean" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccmeanFreqX" "fBodyAccmeanFreqY" "fBodyAccmeanFreqZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkmeanFreqX" "fBodyAccJerkmeanFreqY" "fBodyAccJerkmeanFreqZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyromeanFreqX" "fBodyGyromeanFreqY" "fBodyGyromeanFreqZ" "fBodyAccMagmean" "fBodyAccMagmeanFreq" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagmeanFreq" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagmeanFreq" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagmeanFreq" "angletBodyAccMeangravity" "angletBodyAccJerkMeangravityMean" "angletBodyGyroMeangravityMean" "angletBodyGyroJerkMeangravityMean" "angleXgravityMean" "angleYgravityMean" "angleZgravityMean" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagstd" "tGravityAccMagstd" "tBodyAccJerkMagstd" "tBodyGyroMagstd" "tBodyGyroJerkMagstd" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagstd" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagstd"
1 "WALKING" 0.270403342 -0.0163235700561404 -0.108603092614035 0.76682581777193 -0.0679407566842105 0.0591132386947368 0.0617259190824561 0.0145232405421053 -0.0214544824187368 -0.0162570164403509 -0.0987097629122807 0.0831978458929825 -0.0990478975122807 -0.0431919391438597 -0.0663433070350877 -0.510466018710526 -0.510466018710526 -0.594532909280702 -0.512875811508772 -0.681727145438596 -0.592237446298246 -0.474297686642105 -0.643830814385965 -0.174748931225263 0.0790154819122807 0.0502725389473684 -0.603905193526316 -0.564291630035088 -0.733607071578947 -0.0294956814385965 -0.197244836350877 -0.0891242723842105 -0.671949644210526 -0.56046179135614 -0.594408776824561 -0.0524481315866667 -0.135757405526316 0.028515769122807 -0.549372521759649 0.16029315422807 -0.565591682438596 0.248618364282456 -0.58966564 0.0411888291578947 -0.692391767649123 0.23123796315614 0.0413535851736842 0.0122389118070175 -0.00192376745263158 0.000767723924561401 -0.554917702105263 0.109987353361404 -0.0236706051929825 -0.59592598777193 -0.432499201861404 -0.545891950863158 -0.968159607017544 -0.963526279473684 -0.939463150701754 -0.582631880215789 -0.528451467526316 -0.753384475964912 -0.723686493508772 -0.492180053950877 -0.635207179491228 -0.682508688421053 -0.680943652385965 -0.701075119122807 -0.56870380017193 -0.56870380017193 -0.584936455385965 -0.548606695350877 -0.702267090175439 -0.598968189357895 -0.448926050394737 -0.536779205122807 -0.598226660491228 -0.521752510282456 -0.771438095964912 -0.741561012982456 -0.463010770638596 -0.68398565 -0.649401677017544 -0.613800690175439 -0.603520251842105 -0.737670428596491
1 "WALKING_UPSTAIRS" 0.27199153545614 -0.0215407519749123 -0.105841841631579 0.830986720894737 -0.139782894175439 0.0606161575087719 0.0673269563157895 -0.0144337545298246 -0.0161347628423684 -0.0526430501561404 -0.0575595218614035 0.0693441881894737 -0.0949430823333333 -0.0355022007473684 -0.0367930996087719 -0.413419947140351 -0.413419947140351 -0.495372801877193 -0.426236556110526 -0.596555764912281 -0.496592092105263 -0.335876649567368 -0.55737683877193 -0.180425002942105 0.0430495178789474 0.0770890163554386 -0.506888333789474 -0.445918061915789 -0.667168431280702 -0.0612340826964912 -0.21686848777193 -0.100839454789474 -0.578242784315789 -0.444126081698246 -0.524914392131579 0.00435409745614035 -0.111181741664912 -0.0447131560438596 -0.4431393494 0.140959878578947 -0.448213020813333 0.19430254344386 -0.486568823757895 0.0896146086835088 -0.598516250907018 0.217293176480702 -0.00268055717 0.015720070368421 0.0444025799473684 0.00926653073684211 -0.624774927192982 0.1731470922 -0.0287501564035088 -0.524842485789474 -0.286029497052632 -0.464016727652632 -0.964307888947368 -0.938154311929825 -0.925686578245614 -0.480587082578947 -0.396187816175439 -0.692535841473684 -0.654009582280702 -0.389565525177193 -0.569978423859649 -0.578008312807018 -0.590299890245614 -0.640762793157895 -0.464574696877193 -0.464574696877193 -0.467267711121754 -0.458919420164912 -0.606849560035088 -0.537737044201754 -0.308999285308772 -0.462508655187719 -0.499910493296491 -0.382723716035088 -0.716665671052632 -0.67928288245614 -0.367880719875439 -0.625773697894737 -0.564489162017544 -0.496799545303509 -0.536940127859649 -0.646748255473684
1 "WALKING_DOWNSTAIRS" 0.273055463877193 -0.0103490260492982 -0.114108544877193 0.692048585631579 -0.0810361435263158 0.0635379024105263 0.0783042561315789 0.0216639585292982 -0.0252891385809298 -0.0183215097394737 -0.106291438964912 0.092197848322807 -0.0860694069122807 -0.0590199753070175 -0.050631072854386 -0.481064661754386 -0.481064661754386 -0.559796756122807 -0.504583813608772 -0.651432500526316 -0.53591411025614 -0.455098952885965 -0.622823134245614 -0.212078424117544 0.0443696728263158 0.045253295854386 -0.552618429526316 -0.540347761180702 -0.698845389824561 -0.0432859540701754 -0.196511547457895 -0.0798584410526316 -0.653500209824561 -0.53082443065614 -0.554238505192982 -0.0834110353035088 -0.0558659471157895 -0.0376885223754386 -0.48882311 0.10626007377193 -0.506973563796491 0.231682122764912 -0.56720576068421 0.0440174280308772 -0.663115196017544 0.158505823529649 0.0478812796736842 0.0166273338982456 -0.0634237305859649 -0.0971358027789474 -0.492243837017544 0.117189410178947 -0.0409403861052632 -0.54121899202507 -0.4297832837 -0.553079079421053 -0.960826944736842 -0.959211654912281 -0.934828886140351 -0.530791764289474 -0.506717438122807 -0.720118019649123 -0.715855075964912 -0.500278463263158 -0.598186841157895 -0.659772658438596 -0.64791458345614 -0.66306644877193 -0.513921513303509 -0.513921513303509 -0.527107059578947 -0.540486283280702 -0.665508343333333 -0.544438745387719 -0.454207267772456 -0.555533614173684 -0.550262867421053 -0.503308378347368 -0.739955808421053 -0.737150925263158 -0.490082324277193 -0.650810853684211 -0.606488551192983 -0.55752605344386 -0.606249769824561 -0.69290943122807
1 "SITTING" 0.275929744912281 -0.0179181876864912 -0.100262191263158 0.777009603631579 -0.0934987755087719 0.0757474047982456 0.0969879862578947 0.0353253274205263 -0.0260084603592982 -0.0195159514105263 -0.083851194345614 0.0957580877350877 -0.0940531396421053 -0.0410492430701754 -0.0409852027017544 -0.439672024561404 -0.439672024561404 -0.531410397894737 -0.451304862929825 -0.630747989649123 -0.513767220052632 -0.393064293368421 -0.590910024070175 -0.145181685175439 0.0706903702070175 0.103640259480702 -0.53074178845614 -0.493571835523526 -0.695515783157895 -0.0532498815438597 -0.208753481033333 -0.10686371645614 -0.633476417978947 -0.484884808017544 -0.549103546964912 0.0478736668912281 -0.110382505682456 0.0170193626192982 -0.481855744873684 0.185587974438596 -0.4848817763 0.186929811916316 -0.528767911842105 0.0854622827352632 -0.63717278877193 0.196598759778947 0.0412507360754386 -0.0141872574070175 -0.00262516819298246 -0.0428879841105263 -0.555093131578947 0.134994889 -0.0369013378947368 -0.527987365964912 -0.355265390901754 -0.484252886201754 -0.971551091052632 -0.9706689 -0.949736885964912 -0.50600578644386 -0.456185180473684 -0.712448660175439 -0.696222521982456 -0.405479542603509 -0.602132800210526 -0.643598266842105 -0.620651825807017 -0.652519326070175 -0.504965318929825 -0.504965318929825 -0.500525400554386 -0.489943131245614 -0.643297889122807 -0.535606962252632 -0.378780856333333 -0.476283368666667 -0.524346419308246 -0.452244291654035 -0.727606239649123 -0.717376846947368 -0.372992021278947 -0.658023200298246 -0.597202248992982 -0.523668088087719 -0.553856913438597 -0.677530913508772
1 "STANDING" 0.277348986491228 -0.0176967493245614 -0.115078808210526 0.728421472578947 -0.0615987075438597 0.0813801732280702 0.0892153876666667 0.0257027990421053 -0.00102268634105263 -0.0340439208308772 -0.0736229978596491 0.108745806104386 -0.0967042432338596 -0.0317065945701754 -0.0571644008368421 -0.470740952725965 -0.470740952725965 -0.539103965438597 -0.495171104105263 -0.634595286789474 -0.529067407736842 -0.397831110585965 -0.600669717333333 -0.148444509873509 0.058970506054386 0.0290298995614035 -0.538332514231754 -0.503061964754386 -0.693909366087719 -0.0286058277754386 -0.265970187805263 -0.0844527291789474 -0.632735346842105 -0.505080035226316 -0.565403900652632 -0.0173621647842105 -0.083392043577193 -0.0357650628612281 -0.471687343912281 0.152284713298246 -0.499309017157895 0.228607202891228 -0.546484674245614 0.086767954044386 -0.642814488929825 0.248300092626316 0.0786302959035088 0.0125969671157895 -0.0183300517280702 0.0312961766175439 -0.523111417192982 0.106580749894737 -0.0460802797719298 -0.556587382329825 -0.367310354410526 -0.520084361491228 -0.967352845964912 -0.950324288596491 -0.939670849824561 -0.517789280070175 -0.463430958415789 -0.718190692280702 -0.693818650894737 -0.464444325387719 -0.608354283403509 -0.63482359422807 -0.628724177649123 -0.6667257687 -0.505492267854386 -0.505492267854386 -0.514747576350877 -0.523238645912281 -0.649333938017544 -0.569134791364912 -0.393296536182456 -0.519872689824561 -0.540068337807018 -0.45619310722807 -0.741140968245614 -0.714538243912281 -0.449945315370175 -0.659966762859649 -0.604427769631579 -0.538114344363158 -0.593000970877193 -0.683545498964912
1 "LAYING" 0.274510716964286 -0.00879117445357143 -0.101946863705357 0.777223564107143 -0.139894841196429 0.0549795079732143 0.0683876858928571 0.0342581366107143 0.01575405307875 0.0247158558392857 -0.122157631821429 0.0594962811785714 -0.1189222675 -0.0351486020892857 -0.0276320667673214 -0.433558407569643 -0.433558407569643 -0.530567457716071 -0.457040952542857 -0.626442866964286 -0.503169072839286 -0.393817447446429 -0.583179549839286 -0.181239250566071 0.0667125237946429 0.0989015054821429 -0.5264974545 -0.493361994664286 -0.681097452678571 -0.0715537140410714 -0.204990176928571 -0.0914173839946429 -0.61672497325 -0.480827238141071 -0.528883481285714 -0.0587855945375 -0.0479992419107143 -0.00859793955 -0.451255173607143 0.176272156671964 -0.478350316119643 0.15779302194875 -0.519595606732143 0.0946231793571429 -0.641176711053571 0.207333403071429 0.0159545492125 -0.00649356173214286 -0.0190943981964286 0.0739828174642857 -0.56459235875 0.168472031498214 -0.0266441343928571 -0.516940928030357 -0.353214755198214 -0.487825777767857 -0.970065759821429 -0.954181249107143 -0.932859428928571 -0.501773743625 -0.4632360601375 -0.704166536964286 -0.675322439464286 -0.422196149849107 -0.570045366516071 -0.644310908214286 -0.618791123482143 -0.652931368928571 -0.478835572241071 -0.478835572241071 -0.495187054126786 -0.483382108078571 -0.649872207625 -0.5245309135 -0.376183995732143 -0.485844950892857 -0.520736328426786 -0.467782543301786 -0.725626851785714 -0.696587933928571 -0.400301480482143 -0.62435551125 -0.578812158875 -0.521906081473214 -0.554599129910714 -0.687357331446429
2 "WALKING" 0.2780156916 -0.020293762604 -0.10298287044 0.6592908818 -0.1599931087356 0.14916724478 0.099507505952 -0.0136644263 0.0147540709152 -0.035874443204 -0.068777108268 0.09154871064 -0.08707942852 -0.065081469516 -0.0714166544 -0.54727072732 -0.54727072732 -0.5911553661 -0.626179944244 -0.748104961 -0.58004208136 -0.451731086952 -0.65942666492 -0.1083089227128 0.081914546344 0.071799500142 -0.5636873312 -0.51608557162 -0.73215400584 0.0819965913574 -0.150370797212 -0.11299387822 -0.63960401794 -0.7295355278 -0.610451296694 -0.005564019702 -0.083349657942 0.076229567382 -0.5353757559 0.213202850636 -0.50482974272 0.234286448332 -0.70317053234 0.075447992394 -0.74602718082 0.120342106726 -0.013481900808 -0.00537331475 0.040479043114 -0.0705135171912 -0.4283780262 0.18037451968 -0.088534562538 -0.60835672648 -0.44483928262 -0.62137856154 -0.9631361332 -0.9660742548 -0.9528443072 -0.55458789712 -0.496162140712 -0.7538358822 -0.720746146808 -0.7284310566 -0.65388211258 -0.6619055424 -0.7877218958 -0.67873323144 -0.56914837392 -0.56914837392 -0.51245172492 -0.69267041358 -0.73714116596 -0.621220515012 -0.47818612828 -0.6317059534 -0.58599732144 -0.50930626734 -0.7741310852 -0.74773598422 -0.7316552862 -0.70423880754 -0.657693590382 -0.52614068746 -0.742052182 -0.74485207414
2 "WALKING_UPSTAIRS" 0.274924698163265 -0.0187931065 -0.115580897489796 0.617547942653061 -0.139437364301306 0.122136077255102 0.0575231165520408 0.02177257369 0.041311225017551 -0.0281548493077551 -0.0638607614897959 0.0829890640734694 -0.0750871580061225 -0.0457321892346939 -0.0578921547897959 -0.554393193959184 -0.554393193959184 -0.619905522346939 -0.637415251773469 -0.775591979591837 -0.59911102944898 -0.460618324102041 -0.635101983102041 -0.0453095831836735 0.139597181608163 0.0719189533428571 -0.594242658816327 -0.542758495755102 -0.737726396163265 0.113945883183673 -0.10695698695102 -0.100972233816327 -0.653891005285714 -0.744204019795918 -0.630389317326531 -0.0333037411428571 -0.0677023025714286 0.104101847836735 -0.554278936459184 0.248334324718367 -0.544248391842857 0.168285492812245 -0.719774020204082 0.0383135885265306 -0.788920642877551 0.110951407229184 -0.0615638069367347 0.0850919694755102 -0.033912842877551 -0.0367746934285714 -0.371357711836735 0.164185188285714 -0.0701048936234694 -0.63730294177551 -0.459638434344898 -0.575848685669388 -0.96518867877551 -0.969651105102041 -0.939162339183673 -0.59252467677551 -0.532833403297959 -0.762328286734694 -0.713834167959184 -0.734677222040816 -0.639695245318367 -0.715368299591837 -0.812826232244898 -0.712850625714286 -0.596929318004082 -0.596929318004082 -0.553651175773469 -0.699032187959184 -0.782902528836735 -0.654081206959184 -0.494556208487755 -0.578494261693878 -0.628856781836735 -0.556091604530612 -0.786126561836735 -0.733598480204082 -0.732294424489796 -0.678465650408163 -0.68629478344898 -0.568948421840816 -0.73794431122449 -0.790417159469388
2 "WALKING_DOWNSTAIRS" 0.276083422653061 -0.0188710418946939 -0.116152041183673 0.753100073877551 -0.201771003612245 0.105261566038776 0.0791706015544898 -0.00697653100857143 -0.0251213181883673 0.00106922448571429 -0.105700560071429 0.102181514510204 -0.0953773374285714 -0.0385868421816326 -0.0376060644897959 -0.522884360663265 -0.522884360663265 -0.572252144193878 -0.608669308469388 -0.740964573265306 -0.560706941306122 -0.422804827387755 -0.618637703020408 -0.101224645171429 0.0887673009795918 0.089861894266449 -0.543057859271429 -0.504004112918367 -0.703117579142857 0.115723863667347 -0.143731187887755 -0.0856766490612245 -0.636221737408163 -0.713299037612245 -0.591451304346939 -0.0224287997040816 -0.0889036963673469 0.0481953978730612 -0.497747395979592 0.1478723743 -0.503066769181633 0.185508702630612 -0.696596005061225 0.0459296187346939 -0.741767901755102 0.152666522463265 -0.0108512927395714 -0.00133826618367347 -0.0907610074897959 0.00430075991836735 -0.522349665714286 0.213851354591837 -0.0559222073265306 -0.590932084285714 -0.414844583346939 -0.585975790959184 -0.962091888367347 -0.96003035 -0.948525928163265 -0.541231781877551 -0.479973717904082 -0.732691630204082 -0.706035877346939 -0.719157136326531 -0.636392882979592 -0.658240335387755 -0.777195283469388 -0.670428942836735 -0.533946849428571 -0.533946849428571 -0.501246862632653 -0.680806562693878 -0.729973254816327 -0.604482955714286 -0.448860798467347 -0.601561245177551 -0.582388820204082 -0.49018105744898 -0.761405099183673 -0.729988194081633 -0.72660372877551 -0.688098364428571 -0.629823822428571 -0.502451193293878 -0.727960053877551 -0.734583214020408
2 "SITTING" 0.276843084693878 -0.0181538214555102 -0.128501771632653 0.493140919183673 -0.0208635378571429 0.238975911918367 0.0923348016326531 -0.0141933754510204 0.0125720626742857 -0.0936710788163265 -0.0247746555714286 0.0664933507346939 -0.0843335639163265 -0.0344033734979592 -0.0442000050816327 -0.583664638428571 -0.583664638428571 -0.64094269197551 -0.643515205261225 -0.767387409183673 -0.635612444142857 -0.479778429755306 -0.682488949061224 -0.159409409855102 0.128743042171224 0.142919185957143 -0.633282734183673 -0.549312705534694 -0.765248530612245 0.0532634780013469 -0.0894509602244898 -0.056254400177551 -0.689278295697959 -0.753273597346939 -0.644974121222449 0.0373030931102041 -0.0244710260428571 0.037231609477551 -0.571568944020408 0.200665066732653 -0.58125730022449 0.216111567428571 -0.733757024285714 0.0768369111667347 -0.780940772857143 0.130665051857143 0.0144812466428571 -0.0255369431893878 0.237030257102041 -0.133591363326531 -0.281500915714286 0.0744158659183674 -0.158688684861225 -0.647817634346939 -0.480918661877551 -0.646179198628571 -0.956246890408163 -0.955082448979592 -0.9336882 -0.623938552910204 -0.532514341957143 -0.787954148163265 -0.760930968367347 -0.753626257142857 -0.670604060122449 -0.705972077673469 -0.801252313265306 -0.697496076734694 -0.605220701265306 -0.605220701265306 -0.577399553071429 -0.71574488355102 -0.764389243346939 -0.653771944122449 -0.51571937955102 -0.654938811530612 -0.649165772653061 -0.547199089367347 -0.809792668367347 -0.784523945102041 -0.756815689795918 -0.711858614693878 -0.688606591571429 -0.574840365265306 -0.755336738979592 -0.760881203755102
